	to_lang	title	to_id	from_id	from_title	authorid	workid	from_file	to_file	author_genre
urn:cts:greekLit:tlg0014.tlg001	eng	First Olynthiac	urn:cts:greekLit:tlg0014.tlg001.perseus-eng2	urn:cts:greekLit:tlg0014.tlg001.perseus-grc2	Ὀλυνθιακὸς α΄	tlg0014	tlg001	tlg0014.tlg001.perseus-grc2	tlg0014.tlg001.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg002	eng	Second Olynthiac	urn:cts:greekLit:tlg0014.tlg002.perseus-eng2	urn:cts:greekLit:tlg0014.tlg002.perseus-grc2	Ὀλυνθιακὸς β΄	tlg0014	tlg002	tlg0014.tlg002.perseus-grc2	tlg0014.tlg002.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg003	eng	Third Olynthiac	urn:cts:greekLit:tlg0014.tlg003.perseus-eng2	urn:cts:greekLit:tlg0014.tlg003.perseus-grc2	Ὀλυνθιακὸς γ΄	tlg0014	tlg003	tlg0014.tlg003.perseus-grc2	tlg0014.tlg003.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg004	eng	First Philippic	urn:cts:greekLit:tlg0014.tlg004.perseus-eng2	urn:cts:greekLit:tlg0014.tlg004.perseus-grc2	κατὰ Φιλίππου α΄	tlg0014	tlg004	tlg0014.tlg004.perseus-grc2	tlg0014.tlg004.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg005	eng	On the Peace	urn:cts:greekLit:tlg0014.tlg005.perseus-eng2	urn:cts:greekLit:tlg0014.tlg005.perseus-grc2	περὶ τῆς εἰρήνης	tlg0014	tlg005	tlg0014.tlg005.perseus-grc2	tlg0014.tlg005.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg006	eng	Second Philippic	urn:cts:greekLit:tlg0014.tlg006.perseus-eng2	urn:cts:greekLit:tlg0014.tlg006.perseus-grc2	κατὰ Φιλίππου β΄	tlg0014	tlg006	tlg0014.tlg006.perseus-grc2	tlg0014.tlg006.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg007	eng	On Halonnesus	urn:cts:greekLit:tlg0014.tlg007.perseus-eng2	urn:cts:greekLit:tlg0014.tlg007.perseus-grc2	περὶ Ἀλοννήσου	tlg0014	tlg007	tlg0014.tlg007.perseus-grc2	tlg0014.tlg007.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg008	eng	On the Chersonese	urn:cts:greekLit:tlg0014.tlg008.perseus-eng2	urn:cts:greekLit:tlg0014.tlg008.perseus-grc2	περὶ τῶν ἐν Χερρονήσῳ	tlg0014	tlg008	tlg0014.tlg008.perseus-grc2	tlg0014.tlg008.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg009	eng	Third Philippic	urn:cts:greekLit:tlg0014.tlg009.perseus-eng2	urn:cts:greekLit:tlg0014.tlg009.perseus-grc2	κατὰ Φιλίππου γ΄	tlg0014	tlg009	tlg0014.tlg009.perseus-grc2	tlg0014.tlg009.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg010	eng	Fourth Philippic	urn:cts:greekLit:tlg0014.tlg010.perseus-eng2	urn:cts:greekLit:tlg0014.tlg010.perseus-grc2	κατὰ Φιλίππου δ΄	tlg0014	tlg010	tlg0014.tlg010.perseus-grc2	tlg0014.tlg010.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg011	eng	Answer to Philip’s Letter	urn:cts:greekLit:tlg0014.tlg011.perseus-eng2	urn:cts:greekLit:tlg0014.tlg011.perseus-grc2	πρὸς τὴν ἐπιστολήν τὴν Φιλίππου	tlg0014	tlg011	tlg0014.tlg011.perseus-grc2	tlg0014.tlg011.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg012	eng	Philip’s Letter	urn:cts:greekLit:tlg0014.tlg012.perseus-eng2	urn:cts:greekLit:tlg0014.tlg012.perseus-grc2	ἐπιστολή [Φιλίππου]	tlg0014	tlg012	tlg0014.tlg012.perseus-grc2	tlg0014.tlg012.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg013	eng	On Organization	urn:cts:greekLit:tlg0014.tlg013.perseus-eng2	urn:cts:greekLit:tlg0014.tlg013.perseus-grc2	περὶ συντάξεως	tlg0014	tlg013	tlg0014.tlg013.perseus-grc2	tlg0014.tlg013.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg014	eng	On the Navy-Boards	urn:cts:greekLit:tlg0014.tlg014.perseus-eng2	urn:cts:greekLit:tlg0014.tlg014.perseus-grc2	περὶ τῶν συμμοριῶν	tlg0014	tlg014	tlg0014.tlg014.perseus-grc2	tlg0014.tlg014.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg015	eng	For the Liberty of the Rhodians	urn:cts:greekLit:tlg0014.tlg015.perseus-eng2	urn:cts:greekLit:tlg0014.tlg015.perseus-grc2	ὑπὲρ τῆς Ῥοδίων ἐλευθερίας	tlg0014	tlg015	tlg0014.tlg015.perseus-grc2	tlg0014.tlg015.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg016	eng	For the People of Megalopolis	urn:cts:greekLit:tlg0014.tlg016.perseus-eng2	urn:cts:greekLit:tlg0014.tlg016.perseus-grc2	ὑπὲρ Μεγαλοπολιτῶν	tlg0014	tlg016	tlg0014.tlg016.perseus-grc2	tlg0014.tlg016.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg017	eng	On the Treaty with Alexander	urn:cts:greekLit:tlg0014.tlg017.perseus-eng2	urn:cts:greekLit:tlg0014.tlg017.perseus-grc2	περὶ τῶν πρὸς Ἀλέξανδρον συνθηκῶν	tlg0014	tlg017	tlg0014.tlg017.perseus-grc2	tlg0014.tlg017.perseus-eng2	Oratores
urn:cts:greekLit:tlg0014.tlg018	eng	On the Crown	urn:cts:greekLit:tlg0014.tlg018.perseus-eng2	urn:cts:greekLit:tlg0014.tlg018.perseus-grc2	ὑπὲρ Κτησιφῶντος περὶ τοῦ στεφάνου	tlg0014	tlg018	tlg0014.tlg018.perseus-grc2	tlg0014.tlg018.perseus-eng2	Oratores
